_25._tcp.box.163moda.com.br, saopaulo, Secure, AACBoAABAAIAAAABA18yNQRfdGNwA2JveAcxNjNtb2RhA2NvbQJicgAANAABA18yNQRfdGNwA2JveAcxNjNtb2RhA2NvbQJicgAANAABAAABLAAjAwEBGeorBuLFdL73a9xgnV0fTQre+Q4kGM4wUcpgBjrhT1MDXzI1BF90Y3ADYm94BzE2M21vZGEDY29tAmJyAAAuAAEAAAEsAGIANA0GAAABLGGXTPlhlI3ZhskHMTYzbW9kYQNjb20CYnIAqD7cWoni9Cv81fWQU/z5PejjpkMs+n1YdjFStm5Kr3bO4O7mjQrm59d6KhGvrOFWQAx7/uvFrcMxQd7juDZVWgAAKRAAAACAAAAA
_25._tcp.box.senhorbarri.ga, saopaulo, Insecure, AACBgAABAAIAAwAFA18yNQRfdGNwA2JveAtzZW5ob3JiYXJyaQJnYQAANAABA18yNQRfdGNwA2JveAtzZW5ob3JiYXJyaQJnYQAANAABAAAHCAAjAwEBTr0Xb+Un5CfNCWO9xFBLH/feDmHiYvBmINPBurgrlIcDXzI1BF90Y3ADYm94C3NlbmhvcmJhcnJpAmdhAAAuAAEAAAcIAKIANAcFAAAHCGG5MABhkh46lqoLc2VuaG9yYmFycmkCZ2EAfYCgbBpfRXoIkUM5FLw/vnLX623oIIG84aDdxmei6KpNaKKmpdtRsGu9CtwHAzQJRUxQbGRDBkXVE+ZkpMGBa6JgxxwjDK/CO4xcP9F5Zm9dt87DkGkrOmv6oJiEArS/AuGLV5WgVfqwqItwj+VJVb+6XMwxsqH8GlV38fHyUgQLc2VuaG9yYmFycmkCZ2EAAAIAAQAABwgAGANuczEDYm94C3NlbmhvcmJhcnJpAmdhAAtzZW5ob3JiYXJyaQJnYQAAAgABAAAHCAAYA25zMgNib3gLc2VuaG9yYmFycmkCZ2EAC3NlbmhvcmJhcnJpAmdhAAAuAAEAAAcIAKIAAgcCAAAHCGG5MABhkh46lqoLc2VuaG9yYmFycmkCZ2EAniYOWG3em4N4hmaZhc2ABukKSkxB0YmDxIkPyFl2+WMtdIX4eLNRqKbo6JtGmWwbhQ6yoHcYqit5+CL/Et3t4o+QY3XP8YFeiLKH1YtgApnes24cxUUXE2jcq8Lyd7jf3eIWf3g95kQZr5/J3rPQUvfZc6aID1PdB7opziZKY08DbnMxA2JveAtzZW5ob3JiYXJyaQJnYQAAAQABAAAHCAAEp2PuGgNuczIDYm94C3NlbmhvcmJhcnJpAmdhAAABAAEAAAcIAASnY+4aA25zMQNib3gLc2VuaG9yYmFycmkCZ2EAAC4AAQAABwgAogABBwQAAAcIYbkwAGGSHjqWqgtzZW5ob3JiYXJyaQJnYQCD7sIk+lfIe4jsonnTp90sChY2ll+UH6gpEh0ZqphSRnHbufADma45MVPEEEPPQE5FM8GRZXV1L006XutMS5VvaOcXC9wt7Jyscx1qMgTlFKyqz2RehRU5/BB2KUW5UttiKYXKVdHzDnJDEZgML/c9xwYtOoYMEPpAK7b6RHQDqANuczIDYm94C3NlbmhvcmJhcnJpAmdhAAAuAAEAAAcIAKIAAQcEAAAHCGG5MABhkh46lqoLc2VuaG9yYmFycmkCZ2EAnaDlo/92XSaID+ybl77YOx1inodrmH08r2dUXiNPzhYrmepkRvl+7Gy0dAzfv6x3o4bk8TVFlF1A+rxW4duhz19uPy49JPbMsaCHtvVK2bemnfX6X05OsD2CAbmEPSUE27I2DzXyWqeYzHGMsbQux53BU+E+YO+tWLkVeLeSjkQAACkQAAAAgAAAAA==
_25._tcp.mailsec.protonmail.ch, saopaulo, Secure, AACBoAABAAMABAAHA18yNQRfdGNwB21haWxzZWMKcHJvdG9ubWFpbAJjaAAANAABA18yNQRfdGNwB21haWxzZWMKcHJvdG9ubWFpbAJjaAAANAABAAAEsAAjAwEBdrtmcR2kFkM8qJClsuWgUzxgBkePfRCkRpqUesyDmeEDXzI1BF90Y3AHbWFpbHNlYwpwcm90b25tYWlsAmNoAAA0AAEAAASwACMDAQFhEaVpjSPIngnDb/gzwUh+3BsMhB+HxJ2uj3oJ4R6XngNfMjUEX3RjcAdtYWlsc2VjCnByb3Rvbm1haWwCY2gAAC4AAQAABLABIQA0CAUAAASwYaCBm2F46EAaYQpwcm90b25tYWlsAmNoAKmRgRvVbbsIYp/fVHle4nsmWa/T3+L0CXfLfR+NtOe/SRUEa5p3rcf9DB7osJ+ILOpP4SHXKH5D5ZpaJhWFV2pnvOhNdrFIuFB3aKJ/GVxJYnyUWloL8L83ninsgDGgO+T5WfWTPr1qGRXejDOlUrKeeethQtLvTMAxA8Di7X5+kZwCMj+AkykDyXNIg4Cm6X0CG2kayMZPO9x0pRZANGJ15cx5ubc/RR35aHqOqPTXa58rPDmxUxEqMrYKOajljHh2iBWjGkBrLDbPrOhK6dUvuUDd2brzzlz9jmcPCJhchTfRwjT1r/LsgTdsFNhBNTqgPXpVDzugOWdSRPnXD8MKcHJvdG9ubWFpbAJjaAAAAgABAAAEsAATA25zMgpwcm90b25tYWlsAmNoAApwcm90b25tYWlsAmNoAAACAAEAAASwABMDbnMzCnByb3Rvbm1haWwCY2gACnByb3Rvbm1haWwCY2gAAAIAAQAABLAAEwNuczEKcHJvdG9ubWFpbAJjaAAKcHJvdG9ubWFpbAJjaAAALgABAAAEsAEhAAIIAgAABLBhoHwBYXjmAxphCnByb3Rvbm1haWwCY2gAV2s7Fvr4Ux1LJg+C3eNZe6mvJuTtPxB5s7hF44l9b0Av1316dZjcBASbAvzarCwY8yzfsRq/4HHXAuCsxn6sInu/K/bHlHvJpZGhNw+qloXW9xwkDWYkI/le7yGAlB/VPASYcbFkSFyrUdzwX+qm0agdRf1QrY2EvHKJOxwIpApBMnXGNg0dGM8UawZgN/2BESiE59R3/DDZJ2XgYsnTO5vioDdoiM5L5RniF5bEKH7Zyzwsk4XqD0Y+WqdHDwIhNejtzYunIxOrk+ewoJkIPL8Q8TDWbWDkDb0cxoIiT3Gw9rZZHE5U1HDD/yuTizBdm8lAEJIlRm6dsM8fUiqOTQNuczEKcHJvdG9ubWFpbAJjaAAAAQABAAAEsAAEuUYqlgNuczIKcHJvdG9ubWFpbAJjaAAAAQABAAAEsAAEsHfIlgNuczMKcHJvdG9ubWFpbAJjaAAAAQABAAAEsAAEzYQvAQNuczEKcHJvdG9ubWFpbAJjaAAALgABAAAEsAEhAAEIAwAABLBhu6AzYZQFMhphCnByb3Rvbm1haWwCY2gACP2qwQJUt+wYfAHigJS3qg4lDhnAZ3GiTFc/YVVXwanziZooFdtuQqMzFHQUxstPU5jhyY7zrJmkA88DdYwz0XXe1HZ68s83j2RzhDlrPXWkWYhGuHr7y51AVQngdsBnJtEX+ihHNDej7hWpGk3PEm/Qu6itxfzWXDuo5NuTdh5QGrmi1p9iBsSqznprnQz6d+L6w1ukfLQ358Xnmk1NchCScBe28Ge1jbjxj/kzh2pAWmKKoezQBUrTFFC8ayn1t7cL0FARHAcHhnpyo8ynqG7hBwIR8byAGnQpr2vDZh04V4TWurCx+VV37jyxvtTxfHa0Ohz7/xXRLrhNixpzHgNuczIKcHJvdG9ubWFpbAJjaAAALgABAAAEsAEhAAEIAwAABLBhu6AzYZQFMhphCnByb3Rvbm1haWwCY2gAYKOZR+oaAHuDgKgYlyOAWkxinGj/FJaMjSzp+t51JXAMBZRGMPv2vZAa2E6lhJqrnS9VG60ouytyk85qmSe58EE5VdmRq82No0IMqtwnG065ntcC5cxPZoeZfbh87Pxz3v1ZFV0wh9Yt/FjGS/Al4QGykoj5lxYY6FeWXni6r03V/vNungAe8yQdTdIsQN54IRSFAQBXjKbeQvRnNFVkwVer/bmvAcYqgJm64hOznBZTQMl8+3bO9BoX75kd++hOWnQo4Ywos2pE/ZxFbMjS0WlPlmgWmPfYNdu92Mu0eBhvyIcbaukW1Jelq0wTcA5J88181X93DsGeQkcyRwS3UgNuczMKcHJvdG9ubWFpbAJjaAAALgABAAAEsAEhAAEIAwAABLBhoHp3YXjs+xphCnByb3Rvbm1haWwCY2gABVEhFSE/FSqyQZ6KrGkqnb62qG8TUxkNbqDYS+xNd7H88xIWv6O1UEHB0DqzYB7L3Z/YtM1lhlBha8j/WpLnE3kv0ALt9hmOOs0FsvxJXJitKCdM9LfUONgeajRTRh5AJRfSgZDzKfE1MHtOL4AMtTv4l+wKhi6qBzooAIGnlFN2OIrxpqibNP/jxtXRTKGV2vveAyO6BQskByzSeExBj+OAB0Bt7jYFyQzEpAvUw0IQ852ihX7Amb/Ec/eFdX/V1pKKu7U1JXQHVbqeR6TZlpH23stcJjxZQ8h8SKrdoUyfJKtT0nvj4+7XjJDSApEuuM11YDDY/ZbORw2F9VrGTAAAKRAAAACAAAAA
_25._tcp.mail.protonmail.ch, saopaulo, Secure, AACBoAABAAMABAAHA18yNQRfdGNwBG1haWwKcHJvdG9ubWFpbAJjaAAANAABA18yNQRfdGNwBG1haWwKcHJvdG9ubWFpbAJjaAAANAABAAAEsAAjAwEBdrtmcR2kFkM8qJClsuWgUzxgBkePfRCkRpqUesyDmeEDXzI1BF90Y3AEbWFpbApwcm90b25tYWlsAmNoAAA0AAEAAASwACMDAQFhEaVpjSPIngnDb/gzwUh+3BsMhB+HxJ2uj3oJ4R6XngNfMjUEX3RjcARtYWlsCnByb3Rvbm1haWwCY2gAAC4AAQAABLABIQA0CAUAAASwYaCBR2F46GMaYQpwcm90b25tYWlsAmNoAEd0EOaLyqkC9oaLBCY3tVdhzGL4cpKgprSyE9n5RpECCLATWUeZHm2EprkdVVMgngmXTwoCjghE36Z0bZCZ8ZE4I148AJSzTK26iKrvcZ9iwzgUIHnjpdZJS+4PuWQA7zZdxToypE+EE6jVXpG3e8AgFuwS4cCafrezUxY7vwlr4Qczh1JntP9mx/HPazWTd9fG/GTWP59LM9kLVsjZHyL4Lxwugg0WCqGoAyQYfHDrQqDmBkeQOg07qsPfi1VrgpV31TaWC6l/BGmaykZE5kZ42UaPsae1xvpxZnt9SeQoRa3/PUwuM2xUFLuzwM/s0A8Xyv+2lv4V1xyI2e4L/5YKcHJvdG9ubWFpbAJjaAAAAgABAAAEsAATA25zMwpwcm90b25tYWlsAmNoAApwcm90b25tYWlsAmNoAAACAAEAAASwABMDbnMyCnByb3Rvbm1haWwCY2gACnByb3Rvbm1haWwCY2gAAAIAAQAABLAAEwNuczEKcHJvdG9ubWFpbAJjaAAKcHJvdG9ubWFpbAJjaAAALgABAAAEsAEhAAIIAgAABLBhoHwBYXjmAxphCnByb3Rvbm1haWwCY2gAV2s7Fvr4Ux1LJg+C3eNZe6mvJuTtPxB5s7hF44l9b0Av1316dZjcBASbAvzarCwY8yzfsRq/4HHXAuCsxn6sInu/K/bHlHvJpZGhNw+qloXW9xwkDWYkI/le7yGAlB/VPASYcbFkSFyrUdzwX+qm0agdRf1QrY2EvHKJOxwIpApBMnXGNg0dGM8UawZgN/2BESiE59R3/DDZJ2XgYsnTO5vioDdoiM5L5RniF5bEKH7Zyzwsk4XqD0Y+WqdHDwIhNejtzYunIxOrk+ewoJkIPL8Q8TDWbWDkDb0cxoIiT3Gw9rZZHE5U1HDD/yuTizBdm8lAEJIlRm6dsM8fUiqOTQNuczEKcHJvdG9ubWFpbAJjaAAAAQABAAAErwAEuUYqlgNuczIKcHJvdG9ubWFpbAJjaAAAAQABAAAErwAEsHfIlgNuczMKcHJvdG9ubWFpbAJjaAAAAQABAAAErwAEzYQvAQNuczEKcHJvdG9ubWFpbAJjaAAALgABAAAErwEhAAEIAwAABLBhu6AzYZQFMhphCnByb3Rvbm1haWwCY2gACP2qwQJUt+wYfAHigJS3qg4lDhnAZ3GiTFc/YVVXwanziZooFdtuQqMzFHQUxstPU5jhyY7zrJmkA88DdYwz0XXe1HZ68s83j2RzhDlrPXWkWYhGuHr7y51AVQngdsBnJtEX+ihHNDej7hWpGk3PEm/Qu6itxfzWXDuo5NuTdh5QGrmi1p9iBsSqznprnQz6d+L6w1ukfLQ358Xnmk1NchCScBe28Ge1jbjxj/kzh2pAWmKKoezQBUrTFFC8ayn1t7cL0FARHAcHhnpyo8ynqG7hBwIR8byAGnQpr2vDZh04V4TWurCx+VV37jyxvtTxfHa0Ohz7/xXRLrhNixpzHgNuczIKcHJvdG9ubWFpbAJjaAAALgABAAAErwEhAAEIAwAABLBhu6AzYZQFMhphCnByb3Rvbm1haWwCY2gAYKOZR+oaAHuDgKgYlyOAWkxinGj/FJaMjSzp+t51JXAMBZRGMPv2vZAa2E6lhJqrnS9VG60ouytyk85qmSe58EE5VdmRq82No0IMqtwnG065ntcC5cxPZoeZfbh87Pxz3v1ZFV0wh9Yt/FjGS/Al4QGykoj5lxYY6FeWXni6r03V/vNungAe8yQdTdIsQN54IRSFAQBXjKbeQvRnNFVkwVer/bmvAcYqgJm64hOznBZTQMl8+3bO9BoX75kd++hOWnQo4Ywos2pE/ZxFbMjS0WlPlmgWmPfYNdu92Mu0eBhvyIcbaukW1Jelq0wTcA5J88181X93DsGeQkcyRwS3UgNuczMKcHJvdG9ubWFpbAJjaAAALgABAAAErwEhAAEIAwAABLBhoHp3YXjs+xphCnByb3Rvbm1haWwCY2gABVEhFSE/FSqyQZ6KrGkqnb62qG8TUxkNbqDYS+xNd7H88xIWv6O1UEHB0DqzYB7L3Z/YtM1lhlBha8j/WpLnE3kv0ALt9hmOOs0FsvxJXJitKCdM9LfUONgeajRTRh5AJRfSgZDzKfE1MHtOL4AMtTv4l+wKhi6qBzooAIGnlFN2OIrxpqibNP/jxtXRTKGV2vveAyO6BQskByzSeExBj+OAB0Bt7jYFyQzEpAvUw0IQ852ihX7Amb/Ec/eFdX/V1pKKu7U1JXQHVbqeR6TZlpH23stcJjxZQ8h8SKrdoUyfJKtT0nvj4+7XjJDSApEuuM11YDDY/ZbORw2F9VrGTAAAKRAAAACAAAAA
_25._tcp.mx02.abin.gov.br, saopaulo, Secure, AACBoAABAAMABAADA18yNQRfdGNwBG14MDIEYWJpbgNnb3YCYnIAADQAAQNfMjUEX3RjcARteDAyBGFiaW4DZ292AmJyAAA0AAEAAA4QACMDAQETPOUt/9wgh0aJoh6ynfFE7cEj9O42NytwqaE4+4UqgANfMjUEX3RjcARteDAyBGFiaW4DZ292AmJyAAA0AAEAAA4QACMCAQG/dxhK2zCOn9MV1cT5oTHyoevFm+EMt0/1Aj7HpNSrcwNfMjUEX3RjcARteDAyBGFiaW4DZ292AmJyAAAuAAEAAA4QAR8ANAUGAAAOEGZQX/phXyg2nckEYWJpbgNnb3YCYnIAl0twjjhN0H6e4IEahhJrCZ0NJhQbYAOdtRC0yoxGQ3ucSgljm7nEdLozFC9J6wXnjuc6iKp3samLmCdkOxlbNU4AygsSd6OiNbBM1jk5LS432dowVt9oDW314tidw2DAKqYYocHO8qpCCXub2uhVuil4NTNGY/d07EyKD5vc3D5+2c1atov4YIyKOOTYi0eD36XUJLKnZFahrEIU9d44HZbDpgLmREj7XGllb+PSjW6ituKwT3vX6/QaYpzQcGpaBg79IL8BdZJviTRH136+ceoNe+vThtHfRMoUMzP3NNsvnAbb2n0OZuKQfdqJpBJeB5fLrqklogNrR1jWkzIZsARhYmluA2dvdgJicgAAAgABAAAOEAAUBGJzYTIGc2VycHJvA2dvdgJicgAEYWJpbgNnb3YCYnIAAAIAAQAADhAAFARic2ExBnNlcnBybwNnb3YCYnIABGFiaW4DZ292AmJyAAACAAEAAA4QABIEZG5zMgRhYmluA2dvdgJicgAEYWJpbgNnb3YCYnIAAC4AAQAADhABHwACBQMAAA4QZlBf+mFfKDadyQRhYmluA2dvdgJicgA9p7GkBMjuSXrocwfM0YMMXtTxgf/gTlP1rdVScAeCrbya2Q1CWUw5SLVxt3EqzzoPtg99M8Y/Z+e9mb9ja7mpXXyihw4MassGZSJ7Wu6cIHLNYoL89VI+srlZ+aI0qIuMKnQR3lr4ayR0M4cBmq1p24GvoVf5A/LqJjk6AKWSlfHCteRwY673XqUSGtopIgGRHgDDzvIWW0gWCMB3Uskajb2/Wv+YE2Vb7d2OXoTpha8Opo2BCYtd4IQZygNbEWeM0sZYLdpUtLmHFOn6YcN80qzkEIg6k6On0VTe0RLGiBE1ZhsJ66SBvI9fnXcTYeEBXy/tZhJmuvZWgYjU3a7HBGRuczIEYWJpbgNnb3YCYnIAAAEAAQAADhAABMjG3BgEZG5zMgRhYmluA2dvdgJicgAALgABAAAOEAEfAAEFBAAADhBmUF/6YV8oNp3JBGFiaW4DZ292AmJyAF/uD1HBJ4NhXRxjYRVBqiQXxClM7JsoNvYmfHdD8iCGI7PbubX1hlq+7lnqfT2wWGP/TYSPXbka+UuYzab26F3qvoOcG4JlgavyciO1Iw4USt8RF1lZgsvtggPe5aY6OYghUDrwFF8BL3BPS+zmjjJG7wNlmew5noFg60qbMDdzSFK291YbpLtdpTarSAdHDQKXVYjW5vyfwxJVTj6jevE18PFE+ZbvnK7F9OToAF5r/Z6POxq28l12YmSOo8K907pb3pkQuG2dHBygBv1YVYZ8la2Wm2R/n2nMwsIiPK1qRES83O2mTDAgP+XAL2xQE0GSPfBRbJEer3a7JC/NnL0AACkQAAAAgAAAAA==
_25._tcp.mx01.abin.gov.br, saopaulo, Secure, AACBoAABAAMABAADA18yNQRfdGNwBG14MDEEYWJpbgNnb3YCYnIAADQAAQNfMjUEX3RjcARteDAxBGFiaW4DZ292AmJyAAA0AAEAAA4QACMDAQEpYd2S1YQwK/Ht4xMyw+XlOkZeBerKVG3V0LkHWhSnKQNfMjUEX3RjcARteDAxBGFiaW4DZ292AmJyAAA0AAEAAA4QACMCAQG/dxhK2zCOn9MV1cT5oTHyoevFm+EMt0/1Aj7HpNSrcwNfMjUEX3RjcARteDAxBGFiaW4DZ292AmJyAAAuAAEAAA4QAR8ANAUGAAAOEGZQX/phXyg2nckEYWJpbgNnb3YCYnIAolplNKj15M49AVhpOCXmZAmznbeY0lJGkBg3YBJjWKg28z6xFqmAFmWYJ8wiTP+/bNwRgvnSMoNqS42Lmbd9tssXvnz3Ciz5n1KzSaX9K9UViyGm0G/LhHMgOiZRI58rLTQCUbrRBdstM1jv1xA2KBgk/iv8YpaEFAQigR7jVL0KmS/sWfHiYz3vFWhhJNvmqpBfz0XV8rKhDOBZRy1eLzKmF6lBgbnb1k+PTHDBb5XF0Jbw9tK8QEIgnYxLFrNhqRryucyHxXHBEbnmeaReLTD3owa8ti90QcpJvn0pOswXiCQF62+39AJuoNS7Q3AhOyLgGs0a8xDg6BY1YAz7zgRhYmluA2dvdgJicgAAAgABAAAOEAAUBGJzYTEGc2VycHJvA2dvdgJicgAEYWJpbgNnb3YCYnIAAAIAAQAADhAAFARic2EyBnNlcnBybwNnb3YCYnIABGFiaW4DZ292AmJyAAACAAEAAA4QABIEZG5zMgRhYmluA2dvdgJicgAEYWJpbgNnb3YCYnIAAC4AAQAADhABHwACBQMAAA4QZlBf+mFfKDadyQRhYmluA2dvdgJicgA9p7GkBMjuSXrocwfM0YMMXtTxgf/gTlP1rdVScAeCrbya2Q1CWUw5SLVxt3EqzzoPtg99M8Y/Z+e9mb9ja7mpXXyihw4MassGZSJ7Wu6cIHLNYoL89VI+srlZ+aI0qIuMKnQR3lr4ayR0M4cBmq1p24GvoVf5A/LqJjk6AKWSlfHCteRwY673XqUSGtopIgGRHgDDzvIWW0gWCMB3Uskajb2/Wv+YE2Vb7d2OXoTpha8Opo2BCYtd4IQZygNbEWeM0sZYLdpUtLmHFOn6YcN80qzkEIg6k6On0VTe0RLGiBE1ZhsJ66SBvI9fnXcTYeEBXy/tZhJmuvZWgYjU3a7HBGRuczIEYWJpbgNnb3YCYnIAAAEAAQAADhAABMjG3BgEZG5zMgRhYmluA2dvdgJicgAALgABAAAOEAEfAAEFBAAADhBmUF/6YV8oNp3JBGFiaW4DZ292AmJyAF/uD1HBJ4NhXRxjYRVBqiQXxClM7JsoNvYmfHdD8iCGI7PbubX1hlq+7lnqfT2wWGP/TYSPXbka+UuYzab26F3qvoOcG4JlgavyciO1Iw4USt8RF1lZgsvtggPe5aY6OYghUDrwFF8BL3BPS+zmjjJG7wNlmew5noFg60qbMDdzSFK291YbpLtdpTarSAdHDQKXVYjW5vyfwxJVTj6jevE18PFE+ZbvnK7F9OToAF5r/Z6POxq28l12YmSOo8K907pb3pkQuG2dHBygBv1YVYZ8la2Wm2R/n2nMwsIiPK1qRES83O2mTDAgP+XAL2xQE0GSPfBRbJEer3a7JC/NnL0AACkQAAAAgAAAAA==
_25._tcp.mail.gaduhost.com.br, saopaulo, Insecure, AACBgAABAAEAAAABA18yNQRfdGNwBG1haWwIZ2FkdWhvc3QDY29tAmJyAAA0AAEDXzI1BF90Y3AEbWFpbAhnYWR1aG9zdANjb20CYnIAADQAAQAAASwAIwMBAR2CT2lnczVWIzbmDEIGHnXNxikvYfvsJRZmx5aOUvlQAAApEAAAAIAAAAA=
_25._tcp.box.adsistem.com.br, saopaulo, Secure, AACBoAABAAIAAAABA18yNQRfdGNwA2JveAhhZHNpc3RlbQNjb20CYnIAADQAAQNfMjUEX3RjcANib3gIYWRzaXN0ZW0DY29tAmJyAAA0AAEAAA4QACMDAQGwJ3ILDwde02Ml9pgx2zrbNhXu4BUexGbwMnuA7FsF0wNfMjUEX3RjcANib3gIYWRzaXN0ZW0DY29tAmJyAAAuAAEAAA4QAGMANA0GAAAOEGG4hKJhg7qSczIIYWRzaXN0ZW0DY29tAmJyADpC3aaScmC+E++f6+CaNn3qblCHE20SkS9OoG41iJKmK233Qw/XwBwjDWvQr/qejkuYEtyu5dDhOhzLQ79dTiAAACkQAAAAgAAAAA==
_25._tcp.mx1.pub.mailpod8-cph3.one.com, saopaulo, Secure, AACBoAABAAMAAAABA18yNQRfdGNwA214MQNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEDXzI1BF90Y3ADbXgxA3B1Yg1tYWlscG9kOC1jcGgzA29uZQNjb20AADQAAQAAADwAIwMBAUBVO3cstIawZpXb1S9Nc/PAE1AYaPC5NfTFMtAT0ObyA18yNQRfdGNwA214MQNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEAAAA8ACMDAQHZZaPYm0u6YlIcFe+GWQByy2N6xwUMx/sn+M8WsivIFQNfMjUEX3RjcANteDEDcHViDW1haWxwb2Q4LWNwaDMDb25lA2NvbQAALgABAAAAPABbADQNBwAAADxhqAyAYYxdAEJ3A29uZQNjb20A5dMqjX/pkFdSIP30evzzRn8GyTKf5iLKSx44YjbYXl8gtsGzFfIlWFdOj5BGUzydUOi03Np+LWPkAxezSMhL7QAAKRAAAACAAAAA
_25._tcp.mx2.pub.mailpod8-cph3.one.com, saopaulo, Secure, AACBoAABAAMAAAABA18yNQRfdGNwA214MgNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEDXzI1BF90Y3ADbXgyA3B1Yg1tYWlscG9kOC1jcGgzA29uZQNjb20AADQAAQAAADsAIwMBAUBVO3cstIawZpXb1S9Nc/PAE1AYaPC5NfTFMtAT0ObyA18yNQRfdGNwA214MgNwdWINbWFpbHBvZDgtY3BoMwNvbmUDY29tAAA0AAEAAAA7ACMDAQHZZaPYm0u6YlIcFe+GWQByy2N6xwUMx/sn+M8WsivIFQNfMjUEX3RjcANteDIDcHViDW1haWxwb2Q4LWNwaDMDb25lA2NvbQAALgABAAAAOwBbADQNBwAAADxhqAyAYYxdAEJ3A29uZQNjb20ALrA1kMYhi2LQJvlxkDq/HxIq+V9yMrHjwvE2z/VOtbyxfFyzZ31FxzxwsX53x4iWeMT2JwJZIWIPY7y8BEZk/gAAKRAAAACAAAAA
_25._tcp.mail.mailx.com.br, saopaulo, Insecure, AACBgAABAAEAAAABA18yNQRfdGNwBG1haWwFbWFpbHgDY29tAmJyAAA0AAEDXzI1BF90Y3AEbWFpbAVtYWlseANjb20CYnIAADQAAQAABwgAIwMBAVxE0DaHYQh8dZL/2nYzkYzUsGdCG9mbwYcXTL3a7citAAApEAAAAIAAAAA=
